ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/12/2014 12:06,-7000,340579 BOTSHELO SERVICE S BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzI5NTc5MzdfMTM3Nzc2MjY2Ny4zODU=
Card Campaign,1/12/2014 12:08,-20000,MAUN BRANCH               MAUN          BW,DEDUCT,3.84012E+14,1,P_NzI2MTEyNDVfMTM4MDM2ODAwNy4xMjM1
Card Campaign,1/12/2014 12:15,-10000,CHOPPIES RAMOTSWA ATM     BW            BW,DEDUCT,4.64012E+14,1,P_NzUwMzU1MTVfMTM4Njc2NjU1OS4yNTYx
Card Campaign,1/12/2014 12:18,-10000,*PHIKWE CHOPPIES          SELIBE PIKWE  BW,DEDUCT,3.84012E+14,1,P_NzQ4Mzg2ODhfMTM4MjYwNTc2Ni41NDEy
Card Campaign,1/12/2014 12:25,-10000,*VILLAGE CHOPPIES         GABORONE      BW,DEDUCT,3.84012E+14,1,P_NzUyMjU1NjhfMTM4MDE5Nzc2MS4yMTMy
Card Campaign,1/12/2014 12:27,-8500,Magos Pub       102862    Jwaneng       BW,DEDUCT,2.84012E+14,0,P_Nzc0OTg4MThfMTM4MTMyODQ1Ni43MTU4
Card Campaign,1/12/2014 12:27,-35000,MAHALAPYE BRANCH          BOTSWANA      BW,DEDUCT,3.84012E+14,1,P_Nzc0MTEwMjVfMTM4NjIzOTUxNi42NDk3
Card Campaign,1/12/2014 12:29,-20000,LETLHAKANE 1              GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzQ0NDA4NzBfMTM4MjUxMzczOC4wMTU0
Card Campaign,1/12/2014 12:31,-50000,FRANCIS TOWN              GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzIyMzE1MDNfMTM4MDg4MTMyMi43ODIx
Card Campaign,1/12/2014 12:35,-100000,MADIRELLO HSE 2           GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzI3MjcxMjlfMTM4MjAxNzMwMS44MDY4
Card Campaign,1/12/2014 12:43,-19885,Pick N Pay Sebel100364    Gaborone      BW,DEDUCT,1.64012E+14,0,P_NzI1MTM2NzZfMTM4NzUyNzExMC4yNDY4
Card Campaign,1/12/2014 12:44,-12815,782504 SUPA SAVE          BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzU3MzgwMTZfMTM4NDQzNjE1My45MzI1
Card Campaign,1/12/2014 12:49,-25000,MOLEPOLOLE                GABARONE      BW,DEDUCT,3.84012E+14,1,P_NzIxOTI2MDZfMTM4MTE1MjMxNS4zNTkz
Card Campaign,1/12/2014 12:52,-20000,BUS RANK ATM 1            JOHANNESBURG  BW,DEDUCT,3.84012E+14,1,P_NzI5NTczNDNfMTM4NDE1NDIyMC4zNjE1
Card Campaign,1/12/2014 12:55,-40000,MAUN SHOPRITE             BOT           BW,DEDUCT,4.64012E+14,1,P_NzI3NjYzMzdfMTM3Nzg1Nzg2My45NjA0
Card Campaign,1/12/2014 12:56,-4310,766831 SHOPRITE GABORONE  BOTSWANA      BW,DEDUCT,4.01232E+12,0,P_NzI0MTE0MjJfMTM4ODEzMTA0Mi42MTI3
Card Campaign,1/12/2014 12:56,4310,766831 SHOPRITE GABORONE  BOTSWANA      BW,REVERSAL,4.01232E+12,0,P_NzI0MTE0MjJfMTM4ODEzMTA0Mi42MTI3
Card Campaign,1/12/2014 12:57,-4310,766831 SHOPRITE GABORONE  BOTSWANA      BW,DEDUCT,4.01232E+12,0,P_NzI0MTE0MjJfMTM4ODEzMTA0Mi42MTI3
Card Campaign,1/12/2014 13:00,-10000,ENGEN MOGODITSHANE AT     BOTSWANA      BW,DEDUCT,4.64012E+14,1,P_NzI5NzYxMDJfMTM4NDI0NTcxNS4zMzcz
